STATIONID,EARTHMATID,SAMPLEID,Source,Sampler,STATION_wc_LIVE_ELEVATION,STATION_wc_LIVE_X_WGS84,STATION_wc_LIVE_Y_WGS84,STATION_wc_LIVE_SLSNOTES,SAMPLE_wc_LIVE_SAMPLETYPE,SAMPLE_wc_LIVE_PURPOSE,SAMPLE_wc_LIVE_NOTES,EARTHMAT_wc_LIVE_LITHGROUP,EARTHMAT_wc_LIVE_LITHTYPE,EARTHMAT_wc_LIVE_LITHDETAIL,EARTHMAT_wc_LIVE_MODTEXTURE,EARTHMAT_wc_LIVE_GRCRYSIZE,EARTHMAT_wc_LIVE_MAGSUSCEPT
10WCI119,10WCI119A,10WCI119A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1765.30004882813,-138.383746697,61.489071585, ,hand; single,geochemistry; litho, ,plutonic,felsic (p),granite, , ,15.5
10WCI122,10WCI122A,10WCI122A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1358.53002929688,-140.774358351,63.908914914, ,hand; single,geochemistry; litho, ,plutonic,felsic (p),granodiorite, , ,0
10WCI124,10WCI124A,10WCI124A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1313.73999023438,-140.560796684,63.9028382480001, ,hand; single,geochemistry; litho, ,plutonic,felsic (p),granodiorite, , ,24.3
10WCI125,10WCI125A,10WCI125A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1277.64001464844,-140.565030017,63.9063365810001,granodiorite;,hand; single,representative lithology, ,plutonic,felsic (p),granite, , ,28.4
10WCI127,10WCI127A,10WCI127A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1240.73999023438,-140.64001335,63.9129499140001,granodiorite; local feldspar porphyry;,hand; single,representative lithology, ,plutonic,felsic (p),granite, , ,0
11RAYWC343,11RAYWC343A,11RAYWC343A02,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1325.86999511719,-135.189018375,60.3486115810001, ,hand; single,geochemistry; litho, ,volcanic,intermediate,andesite,aphanitic,aphanitic,64.4
11RAYWC364,11RAYWC364A,11RAYWC364A02,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,793.320007324219,-136.136895037,62.8979182420001, ,hand; single,geochemistry; litho, ,volcanic,felsic,rhyolite,amygdaloidal | aphanitic | porphyritic | moderately-vesicular,aphanitic,
11RAYWC369,11RAYWC369A,11RAYWC369A02,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,634.630004882813,-136.321123366,62.1746565760001, ,hand; single,geochemistry; litho, ,volcanic,mafic,basalt,amygdaloidal | aphanitic | scoriaceous | highly-vesicular | pipe vesicles,aphanitic,0.7
11RAYWC370,11RAYWC370A,11RAYWC370A02,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,629.830017089844,-136.320950034,62.1747549090001, ,hand; single,geochemistry; litho, ,volcanic,mafic,basalt,aphanitic | porphyritic | non-vesicular,aphanitic,0.2
11RAYWC374,11RAYWC374A,11RAYWC374A02,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,641.830017089844,-136.321005033,62.172423242, ,hand; single,geochemistry; litho, ,volcanic,mafic,basalt,glassy | non-vesicular,aphanitic,0.9
11RAYWC381,11RAYWC381A,11RAYWC381A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,697.030029296875,-136.419730033,62.197166576, ,hand; single,representative lithology, ,volcanic,mafic,basalt,aphanitic | non-vesicular,aphanitic,0.15
11RAYWC381,11RAYWC381A,11RAYWC381A02,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,697.030029296875,-136.419730033,62.197166576, ,hand; single,geochemistry; litho, ,volcanic,mafic,basalt,aphanitic | non-vesicular,aphanitic,0.15
11RAYWC383,11RAYWC383A,11RAYWC383A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,709.630004882813,-136.418323366,62.199709909, ,hand; single,representative lithology, ,volcanic,intermediate,andesite,amygdaloidal | aphanitic | trachytic,aphanitic,7
11RAYWC383,11RAYWC383A,11RAYWC383A02,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,709.630004882813,-136.418323366,62.199709909, ,,,,volcanic,intermediate,andesite,amygdaloidal | aphanitic | trachytic,aphanitic,7
11RAYWC384,11RAYWC384A,11RAYWC384A02,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,943.429992675781,-136.379908368,62.0750615760001, ,hand; single,geochemistry; litho, ,volcanic,mafic,basalt,amygdaloidal | porphyritic | moderately-vesicular | highly-vesicular,aphanitic,5
11RAYWC385,11RAYWC385A,11RAYWC385A02,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,949.22998046875,-136.379788368,62.075311577, ,hand; single,geochemistry; litho, ,volcaniclastic,lapilli,mafic lapilli tuff,matrix-supported | poorly sorted | shard-rich | crystal-rich,lapilli 2-64 mm,1.5
11RAYWC388,11RAYWC388A,11RAYWC388A02,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,891.130004882813,-136.377266702,62.0753032430001, ,hand; single,geochemistry; litho, ,volcanic,mafic,basalt,aphanitic | non-vesicular,aphanitic,5
11RAYWC427,11RAYWC427A,11RAYWC427A02,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,987.429992675781,-140.563228349,64.1615915730001, ,hand; single,geochemistry; litho, ,volcanic,intermediate,andesite,aphanitic | porphyritic | non-vesicular,aphanitic,
11RAYWC429,11RAYWC429A,11RAYWC429A02,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1012.03002929688,-140.714363349,64.0913199060001, ,hand; single,geochemistry; litho, ,volcaniclastic,ash,intermediate tuff, ,ash <2 mm,
11RAYWC429,11RAYWC429B,11RAYWC429B02,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1012.03002929688,-140.714363349,64.0913199060001, ,hand; single,geochemistry; litho, ,volcanic,mafic,mafic volcanic rock,porphyritic, ,
11RAYWC433,11RAYWC433A,11RAYWC433A02,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,0,-140.725445058,64.0512030180001, ,hand; single,geochemistry; litho, ,volcanic,intermediate,andesite,aphanitic | porphyritic,aphanitic,
